doctor_id,department,specialization,experience_years
5083,Pediatrics,Pediatrics,33
5084,Oncology,Neurology,20
5085,Cardiology,Oncology,32
5086,Neurology,Orthopedics,39
5087,Cardiology,Oncology,31
5088,Oncology,Neurology,5
5089,Orthopedics,Cardiology,9
5090,Cardiology,Cardiology,13
5091,Orthopedics,Oncology,24
5092,Neurology,Cardiology,13
5093,Oncology,Pediatrics,38
5094,Pediatrics,Orthopedics,37
5095,Oncology,Cardiology,39
5096,Neurology,Orthopedics,10
5097,Orthopedics,Cardiology,14
5098,General,Pediatrics,3
5099,Neurology,Oncology,21
5100,Oncology,Neurology,31
5101,Orthopedics,Orthopedics,34
5102,Neurology,Neurology,27
5103,Neurology,Oncology,29
5104,Pediatrics,Cardiology,26
5105,Neurology,Neurology,5
5106,General,Cardiology,26
5107,Cardiology,Pediatrics,32
5108,Pediatrics,Orthopedics,13
5109,Neurology,Neurology,31
5110,General,General,33
5111,Oncology,Cardiology,23
5112,Orthopedics,Pediatrics,34
5113,Pediatrics,Pediatrics,20
5114,General,Pediatrics,4
5115,Oncology,Oncology,2
5116,Pediatrics,Neurology,9
5117,Orthopedics,Cardiology,7
5118,Cardiology,Orthopedics,3
5119,General,Orthopedics,29
5120,Cardiology,Orthopedics,1
5121,Oncology,Orthopedics,10
5122,Pediatrics,Orthopedics,15
5123,Oncology,Neurology,6
5124,General,Pediatrics,3
5125,General,Pediatrics,29
5126,Cardiology,Neurology,29
5127,Cardiology,Orthopedics,10
5128,General,Orthopedics,2
5129,Orthopedics,Cardiology,19
5130,General,Pediatrics,3
5131,General,Orthopedics,21
5132,Neurology,Neurology,17
5133,Pediatrics,General,16
5134,Cardiology,Neurology,4
5135,Orthopedics,Orthopedics,23
5136,Orthopedics,Orthopedics,31
5137,Cardiology,Orthopedics,11
5138,Pediatrics,Pediatrics,6
5139,Orthopedics,Pediatrics,21
5140,Orthopedics,Neurology,1
5141,Neurology,Oncology,32
5142,Oncology,Neurology,3
5143,Orthopedics,Pediatrics,14
5144,Oncology,Pediatrics,4
5145,General,Neurology,28
5146,Pediatrics,General,1
5147,Orthopedics,Neurology,37
5148,Cardiology,Neurology,14
5149,Cardiology,Pediatrics,15
5150,Neurology,General,30
5151,Pediatrics,Oncology,12
5152,General,General,25
5153,Orthopedics,Neurology,8
5154,General,Neurology,8
5155,Cardiology,General,11
5156,Pediatrics,Cardiology,21
5157,Oncology,Oncology,30
5158,General,Cardiology,32
5159,Oncology,Cardiology,13
5160,General,Neurology,13
5161,Pediatrics,General,5
5162,Oncology,Pediatrics,24
5163,General,Neurology,1
5164,General,Orthopedics,18
5165,Pediatrics,General,5
5166,Pediatrics,Cardiology,28
5167,Pediatrics,Oncology,28
5168,Oncology,Neurology,18
5169,Pediatrics,Neurology,33
5170,Pediatrics,Cardiology,25
5171,Cardiology,Pediatrics,29
5172,Cardiology,General,26
5173,General,Oncology,37
5174,Pediatrics,General,14
5175,Neurology,Pediatrics,4
5176,Oncology,General,4
5177,Neurology,Oncology,33
5178,Orthopedics,Pediatrics,11
5179,Neurology,Orthopedics,38
5180,Pediatrics,Oncology,27
5181,Pediatrics,Neurology,25
5182,General,Oncology,32
5183,General,Neurology,25
5184,Oncology,General,37
5185,Cardiology,Orthopedics,11
5186,Oncology,Pediatrics,23
5187,Neurology,Cardiology,7
5188,Neurology,Oncology,22
5189,Cardiology,Orthopedics,27
5190,Pediatrics,Oncology,5
5191,Orthopedics,Neurology,34
5192,Oncology,Pediatrics,13
5193,Orthopedics,General,4
5194,General,Pediatrics,10
5195,Orthopedics,Oncology,1
5196,Orthopedics,General,34
5197,Orthopedics,Oncology,16
5198,Orthopedics,Pediatrics,36
5199,Neurology,Cardiology,29
5200,Orthopedics,Pediatrics,38
5201,Oncology,Pediatrics,31
5202,Orthopedics,Cardiology,24
5203,Orthopedics,Orthopedics,12
5204,Orthopedics,Orthopedics,4
5205,Pediatrics,Neurology,36
5206,Oncology,Cardiology,30
5207,Oncology,Orthopedics,9
5208,Oncology,Pediatrics,6
5209,Oncology,Orthopedics,38
5210,Oncology,Neurology,22
5211,General,Orthopedics,15
5212,Orthopedics,Cardiology,33
5213,General,General,7
5214,Oncology,Cardiology,6
5215,Oncology,General,23
5216,Cardiology,Neurology,28
5217,Cardiology,Pediatrics,1
5218,Neurology,Pediatrics,10
5219,Pediatrics,Oncology,6
5220,Cardiology,Neurology,15
5221,Neurology,General,9
5222,General,Neurology,6
5223,Orthopedics,Neurology,23
5224,Cardiology,Orthopedics,16
5225,Pediatrics,Cardiology,1
5226,Orthopedics,General,33
5227,Oncology,Orthopedics,17
5228,Pediatrics,General,35
5229,Oncology,Oncology,27
5230,Oncology,Oncology,17
5231,General,General,37
5232,General,Neurology,19
5233,General,Oncology,25
5234,General,Orthopedics,31
5235,Neurology,Cardiology,37
5236,Oncology,General,15
5237,Neurology,General,24
5238,Pediatrics,Cardiology,14
5239,Pediatrics,Cardiology,37
5240,Oncology,General,14
5241,Neurology,Oncology,15
5242,General,General,3
5243,Orthopedics,Oncology,10
5244,Oncology,Orthopedics,2
5245,General,Oncology,7
5246,Oncology,Pediatrics,7
5247,Neurology,Oncology,38
5248,Orthopedics,Orthopedics,2
5249,General,General,14
5250,Orthopedics,Orthopedics,21
5251,Neurology,Neurology,12
5252,Neurology,Orthopedics,25
5253,Neurology,Pediatrics,1
5254,Orthopedics,Neurology,27
5255,Orthopedics,Pediatrics,1
5256,Oncology,Neurology,22
5257,Neurology,Oncology,10
5258,Cardiology,Orthopedics,37
5259,Oncology,General,10
5260,Orthopedics,Neurology,30
5261,Neurology,Oncology,11
5262,Cardiology,Neurology,18
5263,General,Neurology,12
5264,Neurology,Oncology,25
5265,Oncology,General,35
5266,General,Orthopedics,4
5267,Neurology,Neurology,28
5268,General,Orthopedics,36
5269,Oncology,Pediatrics,32
5270,Orthopedics,Oncology,3
5271,Cardiology,Pediatrics,14
5272,Orthopedics,Neurology,27
5273,Orthopedics,Cardiology,32
5274,Pediatrics,Pediatrics,5
5275,Neurology,Cardiology,26
5276,Cardiology,Cardiology,4
5277,Pediatrics,Cardiology,18
5278,Cardiology,Orthopedics,10
5279,Neurology,Pediatrics,17
5280,Cardiology,Pediatrics,38
5281,Cardiology,Orthopedics,29
5282,Cardiology,Orthopedics,31
5283,Pediatrics,Cardiology,2
5284,Orthopedics,Oncology,1
5285,General,Neurology,31
5286,General,Oncology,8
5287,Neurology,Neurology,34
5288,General,Oncology,11
5289,General,Orthopedics,35
5290,Oncology,Oncology,28
5291,Pediatrics,General,35
5292,Oncology,Oncology,11
5293,Cardiology,Orthopedics,30
5294,Oncology,Cardiology,18
5295,Pediatrics,General,36
5296,General,Pediatrics,1
5297,Orthopedics,General,14
5298,Orthopedics,Cardiology,6
5299,Neurology,Oncology,37
5300,General,Cardiology,36
5301,Neurology,Neurology,10
5302,Neurology,Oncology,15
5303,Pediatrics,Orthopedics,34
5304,Neurology,Neurology,28
5305,Orthopedics,Pediatrics,9
5306,Cardiology,Pediatrics,36
5307,Pediatrics,Pediatrics,17
5308,Cardiology,Cardiology,2
5309,Orthopedics,Cardiology,23
5310,Cardiology,Orthopedics,14
5311,Neurology,Pediatrics,12
5312,General,Pediatrics,13
5313,Neurology,General,10
5314,Pediatrics,Pediatrics,31
5315,Cardiology,Cardiology,37
5316,Neurology,General,38
5317,General,Orthopedics,33
5318,General,Cardiology,33
5319,Pediatrics,Pediatrics,17
5320,Cardiology,Pediatrics,10
5321,Cardiology,Orthopedics,24
5322,Pediatrics,Oncology,5
5323,Pediatrics,General,33
5324,General,Orthopedics,19
5325,Oncology,Pediatrics,4
5326,Orthopedics,Neurology,35
5327,Pediatrics,Neurology,9
5328,General,Orthopedics,24
5329,Oncology,Neurology,16
5330,Neurology,Orthopedics,10
5331,Orthopedics,Neurology,13
5332,Pediatrics,Neurology,33
5333,Orthopedics,Neurology,14
5334,General,Neurology,5
5335,Orthopedics,Neurology,2
5336,Pediatrics,Cardiology,10
5337,Oncology,Orthopedics,38
5338,Oncology,Neurology,11
5339,Neurology,Cardiology,21
5340,Oncology,Cardiology,39
5341,Orthopedics,General,34
5342,General,General,12
5343,General,Neurology,22
5344,Cardiology,Cardiology,30
5345,Pediatrics,Neurology,19
5346,General,General,4
5347,Cardiology,Cardiology,5
5348,General,Oncology,34
5349,General,Orthopedics,31
5350,Pediatrics,Pediatrics,7
5351,Orthopedics,Oncology,20
5352,Orthopedics,Pediatrics,39
5353,Neurology,General,23
5354,Pediatrics,Neurology,15
5355,Neurology,Cardiology,15
5356,General,Cardiology,8
5357,Oncology,Orthopedics,39
5358,Orthopedics,General,14
5359,Pediatrics,Pediatrics,19
5360,Pediatrics,Orthopedics,5
5361,Pediatrics,Neurology,25
5362,Cardiology,Cardiology,23
5363,Pediatrics,Orthopedics,17
5364,Neurology,Pediatrics,10
5365,Cardiology,Neurology,14
5366,Orthopedics,Oncology,4
5367,Pediatrics,Neurology,15
5368,Pediatrics,General,16
5369,Neurology,Orthopedics,21
5370,General,Neurology,16
5371,Pediatrics,Pediatrics,8
5372,Neurology,Pediatrics,11
5373,Neurology,Orthopedics,35
5374,Neurology,Pediatrics,16
5375,Cardiology,Orthopedics,27
5376,General,Pediatrics,34
5377,Cardiology,Pediatrics,7
5378,Oncology,Cardiology,34
5379,Orthopedics,Oncology,15
5380,Neurology,Cardiology,24
5381,General,Neurology,21
5382,Oncology,Neurology,2
5383,General,Oncology,1
5384,Pediatrics,Orthopedics,9
5385,General,Oncology,26
5386,Pediatrics,Neurology,18
5387,General,General,18
5388,Neurology,Oncology,20
5389,Neurology,Pediatrics,16
5390,Orthopedics,Neurology,29
5391,Neurology,General,23
5392,Oncology,Pediatrics,7
5393,Cardiology,Orthopedics,1
5394,Oncology,Cardiology,20
5395,Neurology,General,21
5396,Orthopedics,Cardiology,28
5397,General,Cardiology,36
5398,Oncology,Orthopedics,2
5399,General,General,33
5400,Cardiology,Oncology,9
5401,General,Neurology,13
5402,General,Cardiology,36
5403,Orthopedics,General,37
5404,Oncology,General,29
5405,Pediatrics,Neurology,23
5406,Oncology,Neurology,35
5407,Neurology,Cardiology,31
5408,Cardiology,Oncology,8
5409,Pediatrics,Pediatrics,3
5410,General,Neurology,20
5411,Orthopedics,Neurology,28
5412,Orthopedics,Pediatrics,30
5413,Neurology,Orthopedics,14
5414,Pediatrics,Cardiology,9
5415,General,Oncology,12
5416,Pediatrics,Orthopedics,1
5417,Neurology,Oncology,30
5418,Cardiology,Oncology,29
5419,Oncology,Oncology,13
5420,Cardiology,Oncology,21
5421,General,Cardiology,11
5422,Neurology,General,3
5423,Orthopedics,Cardiology,28
5424,General,Pediatrics,4
5425,Oncology,Neurology,34
5426,Cardiology,Cardiology,16
5427,Orthopedics,Orthopedics,3
5428,Pediatrics,Orthopedics,19
5429,Pediatrics,Cardiology,19
5430,Orthopedics,Neurology,9
5431,Neurology,Neurology,24
5432,Neurology,Orthopedics,18
5433,Oncology,Orthopedics,32
5434,Pediatrics,General,31
5435,Pediatrics,Oncology,1
5436,Orthopedics,Neurology,32
5437,Pediatrics,Cardiology,14
5438,Oncology,Neurology,13
5439,Neurology,General,12
5440,Pediatrics,Pediatrics,20
5441,Orthopedics,Neurology,1
5442,Orthopedics,Neurology,30
5443,Pediatrics,Orthopedics,5
5444,Cardiology,General,32
5445,General,Oncology,15
5446,Cardiology,Cardiology,36
5447,General,Orthopedics,14
5448,Orthopedics,Pediatrics,8
5449,Neurology,General,16
5450,Cardiology,Pediatrics,36
5451,Orthopedics,Neurology,29
5452,Cardiology,Cardiology,21
5453,Cardiology,Orthopedics,29
5454,Orthopedics,General,33
5455,General,Oncology,37
5456,Oncology,General,19
5457,Orthopedics,General,3
5458,Cardiology,Oncology,30
5459,Oncology,Cardiology,7
5460,Orthopedics,Orthopedics,26
5461,Cardiology,General,36
5462,Pediatrics,Cardiology,28
5463,General,Cardiology,6
5464,Cardiology,Orthopedics,26
5465,Cardiology,Neurology,7
5466,Oncology,Neurology,28
5467,Neurology,Oncology,23
5468,Cardiology,Neurology,18
5469,Orthopedics,Cardiology,7
5470,General,General,27
5471,Orthopedics,Neurology,17
5472,Pediatrics,General,34
5473,Cardiology,General,5
5474,General,Orthopedics,35
5475,Oncology,Orthopedics,11
5476,Neurology,Neurology,33
5477,Neurology,Orthopedics,30
5478,Neurology,Cardiology,26
5479,Pediatrics,Cardiology,17
5480,Cardiology,Cardiology,10
5481,General,Orthopedics,8
5482,Cardiology,Orthopedics,9
5483,Neurology,General,33
5484,General,Orthopedics,29
5485,General,Oncology,16
5486,Oncology,Pediatrics,26
5487,Orthopedics,Oncology,36
5488,General,Pediatrics,13
5489,Orthopedics,Orthopedics,9
5490,General,Orthopedics,21
5491,Pediatrics,General,11
5492,Cardiology,General,24
5493,Neurology,Cardiology,7
5494,Orthopedics,Pediatrics,23
5495,Orthopedics,Pediatrics,23
5496,General,Orthopedics,13
5497,Oncology,Pediatrics,21
5498,Cardiology,Oncology,28
5499,Oncology,Orthopedics,9
5500,Neurology,General,22
5501,Orthopedics,Neurology,13
5502,Pediatrics,Orthopedics,26
5503,Cardiology,Oncology,4
5504,Orthopedics,Neurology,32
5505,Oncology,Orthopedics,31
5506,Pediatrics,Orthopedics,13
5507,Cardiology,Pediatrics,7
5508,General,Pediatrics,9
5509,Pediatrics,Cardiology,3
5510,Neurology,Orthopedics,37
5511,Cardiology,Oncology,13
5512,Neurology,Cardiology,24
5513,Pediatrics,General,29
5514,Neurology,Pediatrics,8
5515,Neurology,Pediatrics,27
5516,Cardiology,Orthopedics,16
5517,Pediatrics,Orthopedics,17
5518,Pediatrics,Oncology,33
5519,Neurology,Orthopedics,20
5520,General,Orthopedics,15
5521,Neurology,Oncology,13
5522,Pediatrics,General,9
5523,Cardiology,Neurology,10
5524,Pediatrics,Neurology,27
5525,Pediatrics,Orthopedics,39
5526,General,Oncology,38
5527,Pediatrics,Neurology,38
5528,General,General,30
5529,Cardiology,Pediatrics,9
5530,Orthopedics,Cardiology,30
5531,Oncology,Neurology,23
5532,Cardiology,Neurology,37
5533,General,Orthopedics,16
5534,Pediatrics,Orthopedics,1
5535,Orthopedics,Neurology,39
5536,Pediatrics,Neurology,14
5537,Oncology,Cardiology,25
5538,Cardiology,Pediatrics,21
5539,Neurology,Cardiology,16
5540,Neurology,Oncology,24
5541,Pediatrics,General,12
5542,Pediatrics,Neurology,33
5543,Cardiology,Pediatrics,15
5544,General,Neurology,29
5545,General,General,27
5546,Neurology,Neurology,5
5547,Pediatrics,Orthopedics,35
5548,Orthopedics,Oncology,10
5549,General,Cardiology,14
5550,Oncology,Oncology,19
5551,Orthopedics,Orthopedics,13
5552,Orthopedics,Neurology,12
5553,General,Cardiology,3
5554,General,Cardiology,26
5555,Pediatrics,Orthopedics,23
5556,Orthopedics,Cardiology,34
5557,Pediatrics,Pediatrics,3
5558,General,Pediatrics,23
5559,Oncology,Orthopedics,13
5560,Orthopedics,General,32
5561,Oncology,General,19
5562,Cardiology,Oncology,9
5563,General,Orthopedics,7
5564,Pediatrics,Neurology,21
5565,Cardiology,Pediatrics,34
5566,Oncology,Cardiology,7
5567,Orthopedics,General,12
5568,Oncology,General,24
5569,Cardiology,Neurology,18
5570,Neurology,Cardiology,9
5571,General,Neurology,17
5572,Neurology,Neurology,2
5573,Pediatrics,Cardiology,34
5574,Oncology,Cardiology,4
5575,Oncology,Neurology,8
5576,Oncology,Oncology,17
5577,Pediatrics,Cardiology,17
5578,Neurology,Oncology,34
5579,General,Cardiology,11
5580,Cardiology,Orthopedics,5
5581,Neurology,Pediatrics,23
5582,Pediatrics,Orthopedics,14
5583,Cardiology,Orthopedics,12
5584,Cardiology,Cardiology,15
5585,Orthopedics,Neurology,12
5586,Cardiology,Cardiology,9
5587,Neurology,General,3
5588,Oncology,Orthopedics,19
5589,Cardiology,Cardiology,28
5590,Orthopedics,Pediatrics,34
5591,Pediatrics,Oncology,31
5592,Neurology,Orthopedics,34
5593,Neurology,General,26
5594,Pediatrics,Pediatrics,3
5595,General,Pediatrics,27
5596,Orthopedics,Neurology,24
5597,Orthopedics,Neurology,16
5598,Pediatrics,General,22
5599,Cardiology,Oncology,30
5600,Cardiology,Neurology,23
5601,General,Oncology,7
5602,Cardiology,Neurology,37
5603,General,Orthopedics,7
5604,Neurology,Pediatrics,18
5605,Neurology,Oncology,26
5606,Oncology,Orthopedics,33
5607,Neurology,Cardiology,3
5608,Orthopedics,Cardiology,6
5609,General,Oncology,12
5610,Neurology,General,15
5611,Orthopedics,Pediatrics,9
5612,Orthopedics,Orthopedics,26
5613,Cardiology,Neurology,25
5614,Pediatrics,Pediatrics,24
5615,General,General,3
5616,General,Neurology,3
5617,Oncology,Orthopedics,38
5618,General,General,11
5619,Pediatrics,General,34
5620,Orthopedics,General,22
5621,General,General,21
5622,Orthopedics,Orthopedics,4
5623,Orthopedics,Cardiology,20
5624,Orthopedics,Oncology,9
5625,Pediatrics,General,23
5626,General,General,12
5627,Orthopedics,Pediatrics,34
5628,Neurology,Oncology,6
5629,General,General,15
5630,Orthopedics,Cardiology,10
5631,Oncology,Oncology,27
5632,Neurology,Neurology,1
5633,Pediatrics,General,9
5634,General,Pediatrics,17
5635,Cardiology,Cardiology,11
5636,General,Cardiology,38
5637,Cardiology,General,1
5638,Orthopedics,Pediatrics,23
5639,Pediatrics,Pediatrics,7
5640,Neurology,Pediatrics,1
5641,Orthopedics,Neurology,28
5642,General,Pediatrics,37
5643,Cardiology,Oncology,21
5644,Oncology,Cardiology,33
5645,Pediatrics,Oncology,21
5646,Neurology,Oncology,35
5647,Pediatrics,Pediatrics,2
5648,Neurology,Pediatrics,10
5649,Oncology,Cardiology,19
5650,General,General,3
5651,Oncology,Pediatrics,5
5652,Pediatrics,Oncology,32
5653,Orthopedics,Neurology,6
5654,Cardiology,General,10
5655,Neurology,Neurology,3
5656,Cardiology,Pediatrics,12
5657,Pediatrics,Orthopedics,38
5658,General,Orthopedics,32
5659,General,Oncology,31
5660,Orthopedics,Pediatrics,27
5661,Pediatrics,Pediatrics,3
5662,Oncology,Neurology,6
5663,General,Oncology,33
5664,Pediatrics,Oncology,21
5665,Cardiology,Orthopedics,4
5666,Neurology,Orthopedics,15
5667,Neurology,Cardiology,31
5668,Orthopedics,Cardiology,25
5669,Orthopedics,Cardiology,29
5670,General,Oncology,33
5671,Cardiology,General,24
5672,Oncology,Cardiology,9
5673,General,Neurology,3
5674,General,Orthopedics,3
5675,Pediatrics,Orthopedics,15
5676,Cardiology,Neurology,37
5677,Orthopedics,Pediatrics,3
5678,General,Oncology,38
5679,Pediatrics,Pediatrics,28
5680,Cardiology,General,36
5681,Oncology,Orthopedics,27
5682,Orthopedics,Neurology,21
5683,Orthopedics,General,26
5684,Orthopedics,General,26
5685,Oncology,Oncology,3
5686,Oncology,Cardiology,24
5687,Pediatrics,Neurology,7
5688,General,Cardiology,12
5689,Orthopedics,General,4
5690,Neurology,Pediatrics,36
5691,Orthopedics,General,16
5692,General,Orthopedics,20
5693,Pediatrics,Orthopedics,7
5694,Cardiology,Cardiology,17
5695,Oncology,Cardiology,9
5696,Oncology,Pediatrics,17
5697,Cardiology,Cardiology,23
5698,Oncology,Oncology,20
5699,Pediatrics,Pediatrics,38
5700,General,Neurology,18
5701,Oncology,Cardiology,9
5702,Oncology,General,5
5703,Oncology,Orthopedics,2
5704,Cardiology,Pediatrics,36
5705,Cardiology,Pediatrics,3
5706,Orthopedics,Neurology,24
5707,Neurology,Pediatrics,16
5708,Orthopedics,Neurology,37
5709,Oncology,Neurology,27
5710,Oncology,Pediatrics,8
5711,Cardiology,Oncology,5
5712,Oncology,Oncology,5
5713,Neurology,Pediatrics,15
5714,Oncology,Oncology,1
5715,General,General,31
5716,Pediatrics,General,6
5717,Oncology,General,22
5718,Orthopedics,Cardiology,35
5719,Pediatrics,Pediatrics,26
5720,Oncology,Oncology,30
5721,General,Cardiology,18
5722,General,General,27
5723,General,Oncology,12
5724,Cardiology,General,22
5725,General,Oncology,2
5726,Cardiology,Neurology,34
5727,Neurology,General,38
5728,Oncology,Oncology,33
5729,Orthopedics,Neurology,12
5730,Cardiology,Oncology,19
5731,Cardiology,Cardiology,37
5732,Neurology,Neurology,16
5733,Neurology,Neurology,3
5734,General,Orthopedics,18
5735,Orthopedics,Cardiology,16
5736,Cardiology,Orthopedics,34
5737,Oncology,Pediatrics,8
5738,General,General,9
5739,General,Orthopedics,23
5740,Orthopedics,Orthopedics,24
5741,General,Cardiology,16
5742,Orthopedics,Orthopedics,1
5743,Neurology,Oncology,35
5744,General,Cardiology,37
5745,Neurology,Pediatrics,8
5746,Oncology,Orthopedics,23
5747,General,Neurology,19
5748,Pediatrics,Neurology,9
5749,Orthopedics,General,28
5750,Orthopedics,Cardiology,36
5751,General,Cardiology,30
5752,Oncology,Pediatrics,21
5753,Cardiology,Orthopedics,11
5754,Neurology,Pediatrics,20
5755,General,General,28
5756,Oncology,Neurology,19
5757,Pediatrics,Pediatrics,37
5758,General,General,14
5759,Pediatrics,Pediatrics,21
5760,Cardiology,Cardiology,18
5761,Pediatrics,Oncology,4
5762,Orthopedics,Orthopedics,29
5763,Oncology,Neurology,1
5764,Cardiology,General,33
5765,Neurology,Orthopedics,14
5766,Pediatrics,Neurology,6
5767,Neurology,Oncology,20
5768,Pediatrics,Pediatrics,22
5769,Orthopedics,Orthopedics,6
5770,Orthopedics,Oncology,21
5771,Orthopedics,Neurology,17
5772,Neurology,General,33
5773,Pediatrics,General,15
5774,Orthopedics,Orthopedics,21
5775,General,Pediatrics,1
5776,Neurology,General,29
5777,Neurology,Oncology,23
5778,Pediatrics,General,29
5779,Oncology,General,9
5780,Oncology,Orthopedics,33
5781,Neurology,Cardiology,34
5782,Orthopedics,Orthopedics,20
5783,Orthopedics,Oncology,11
5784,Neurology,Cardiology,19
5785,Oncology,Neurology,20
5786,General,General,21
5787,Neurology,Cardiology,10
5788,Oncology,Pediatrics,18
5789,Pediatrics,Orthopedics,13
5790,Pediatrics,Oncology,9
5791,Neurology,Cardiology,24
5792,Neurology,General,13
5793,Pediatrics,Neurology,20
5794,Oncology,Orthopedics,15
5795,Pediatrics,General,12
5796,Orthopedics,Cardiology,29
5797,Oncology,Oncology,23
5798,Pediatrics,Orthopedics,8
5799,Orthopedics,Cardiology,16
5800,Orthopedics,Pediatrics,8
5801,Pediatrics,Orthopedics,16
5802,Oncology,Pediatrics,22
5803,Oncology,Cardiology,1
5804,Oncology,Oncology,37
5805,Orthopedics,General,33
5806,General,Neurology,20
5807,Oncology,General,12
5808,Oncology,General,29
5809,Cardiology,Pediatrics,24
5810,Neurology,General,29
5811,Orthopedics,Cardiology,37
5812,General,Pediatrics,18
5813,Orthopedics,Orthopedics,8
5814,Pediatrics,Orthopedics,10
5815,General,Orthopedics,11
5816,General,Pediatrics,2
5817,Pediatrics,Oncology,10
5818,Orthopedics,Orthopedics,27
5819,General,General,11
5820,Pediatrics,Cardiology,18
5821,Orthopedics,Cardiology,15
5822,Orthopedics,Orthopedics,31
5823,Cardiology,Cardiology,37
5824,Orthopedics,Oncology,32
5825,General,Orthopedics,31
5826,Oncology,General,17
5827,Cardiology,General,35
5828,Pediatrics,Pediatrics,19
5829,Oncology,Cardiology,15
5830,Cardiology,Oncology,1
5831,General,General,18
5832,Cardiology,Neurology,32
5833,Cardiology,Pediatrics,39
5834,Orthopedics,General,35
5835,Cardiology,General,6
5836,Pediatrics,Orthopedics,29
5837,Neurology,General,21
5838,Orthopedics,Orthopedics,26
5839,General,Orthopedics,12
5840,Pediatrics,Pediatrics,38
5841,Oncology,Neurology,27
5842,Oncology,Cardiology,34
5843,Orthopedics,Cardiology,38
5844,Pediatrics,Orthopedics,31
5845,Pediatrics,Oncology,26
5846,General,Pediatrics,37
5847,Orthopedics,Pediatrics,19
5848,Neurology,Pediatrics,10
5849,Cardiology,General,2
5850,General,Cardiology,24
5851,Pediatrics,Pediatrics,11
5852,Orthopedics,General,18
5853,General,Pediatrics,31
5854,Orthopedics,Neurology,29
5855,Pediatrics,Oncology,29
5856,Cardiology,Orthopedics,12
5857,Oncology,Cardiology,31
5858,General,Oncology,12
5859,Neurology,Cardiology,15
5860,General,Neurology,16
5861,Orthopedics,Neurology,38
5862,General,Cardiology,4
5863,Orthopedics,Pediatrics,34
5864,Neurology,Orthopedics,7
5865,Cardiology,Oncology,39
5866,Oncology,Cardiology,12
5867,Pediatrics,Neurology,7
5868,Oncology,General,1
5869,General,Pediatrics,6
5870,Orthopedics,Neurology,9
5871,Oncology,Neurology,8
5872,Cardiology,Cardiology,8
5873,Oncology,Neurology,7
5874,Cardiology,Neurology,27
5875,Pediatrics,Neurology,2
5876,General,Pediatrics,23
5877,Cardiology,Oncology,36
5878,Cardiology,Oncology,22
5879,Neurology,Pediatrics,38
5880,General,Orthopedics,22
5881,Pediatrics,Pediatrics,1
5882,Oncology,Cardiology,37
5883,General,Oncology,7
5884,Cardiology,Neurology,38
5885,Neurology,Neurology,14
5886,Neurology,Cardiology,35
5887,Orthopedics,Orthopedics,14
5888,Orthopedics,Cardiology,8
5889,General,Neurology,39
